timetweet,favcount,retwcount,id,name,text_clean,text_preprocessed,polarity_score,polarity
2022-11-29 11:40:17,0,1033,1597556048956911616,Hazirahhadi1,alakri saya tak pandai ulas tapi saya cuaxexxannsaya merasa terharu kerana tidak menyangka samutan masyarakat dunia yang hadir kexexxa,"['alakri', 'pandai', 'ulas', 'cuaxexxannsaya', 'haru', 'rana', 'sangka', 'samutan', 'masyarakat', 'dunia', 'hadir', 'kexexxa']",2,positive
2022-11-29 11:40:00,0,0,1597555975304761347,Bolanet,profil tim dan daftar pemain timnas qatar di piala dunia,"['profil', 'tim', 'daftar', 'main', 'timnas', 'qatar', 'piala', 'dunia']",-7,negative
2022-11-29 11:39:58,0,213,1597555966098411521,skycasthe_,xexcxa rekomendasi dress wanita xexcxanna threadnnxexxa tag  rans entertaiment rafi ahmad ronaldo piala dunia shopeeku cxexxa,"['xexcxa', 'rekomendasi', 'dress', 'wanita', 'xexcxanna', 'threadnnxexxa', 'tag', 'rans', 'entertaiment', 'rafi', 'ahmad', 'ronaldo', 'piala', 'dunia', 'shopeeku', 'cxexxa']",2,positive
2022-11-29 11:39:47,0,0,1597555921412313088,woroinoy,instagram kapten timnas korsel dianjiri komentar keencian usai kalah dari ghana di piala dunia    n,"['instagram', 'kapten', 'timnas', 'korsel', 'anjir', 'komentar', 'keencian', 'kalah', 'ghana', 'piala', 'dunia', 'n']",-7,negative
2022-11-29 11:39:33,0,122,1597555864311066627,xleanxyz,xexaxd give awayxexaxdnhadiah r untuk  org masingxcx rnnteak skor piala dunianxfxfxxaexfxfxx iran vs usa xfxfxxaxfxfxxnn follow etakopitesn folxexxa,"['xexaxd', 'give', 'awayxexaxdnhadiah', 'r', 'org', 'masingxcx', 'rnnteak', 'skor', 'piala', 'dunianxfxfxxaexfxfxx', 'iran', 'vs', 'usa', 'xfxfxxaxfxfxxnn', 'follow', 'etakopitesn', 'folxexxa']",0,neutral
2022-11-29 11:39:24,0,1,1597555823886348288,Ic8558730Indah,situs nonton piala dunia qatar  live streaming gratis teraiknlink xfxfxx  gratis tanpa dixexxa,"['situs', 'nonton', 'piala', 'dunia', 'qatar', 'live', 'streaming', 'gratis', 'teraiknlink', 'xfxfxx', 'gratis', 'dixexxa']",10,positive
2022-11-29 11:39:11,0,0,1597555769943396352,awbagsdie08,udah mulai masuk tahuntahun apek orolan di kantor atau makan siang nih gegara ngorolin politik udah gw elokin ngorolin ola piala dunia eh alik lagi ngorolin pdipnnhadehhhhh,"['udah', 'masuk', 'tahuntahun', 'apek', 'orolan', 'kantor', 'makan', 'siang', 'nih', 'gegara', 'ngorolin', 'politik', 'udah', 'gw', 'elokin', 'ngorolin', 'ola', 'piala', 'dunia', 'eh', 'alik', 'ngorolin', 'pdipnnhadehhhhh']",-12,negative
2022-11-29 11:39:09,0,2,1597555760283914241,bjorwi_ngaciro,ronaldo jadi orang pertama yg mencetak goal di  piala dunia yg ereda,"['ronaldo', 'orang', 'yg', 'cetak', 'goal', 'piala', 'dunia', 'yg', 'ereda']",-1,negative
2022-11-29 11:39:08,0,0,1597555756710100994,redaksidetail,saat ini timnas ekuador erada di urutan kedua klasemen sementara grup a dan mengemas  poin sementara senegal ada di urutan ketiga dengan koleksi  poin,"['timnas', 'ekuador', 'erada', 'urut', 'klasemen', 'grup', 'a', 'emas', 'poin', 'senegal', 'urut', 'tiga', 'koleksi', 'poin']",1,positive
2022-11-29 11:38:58,0,6,1597555716658589698,kenawhykamu,fifa ketat anget ngasih aturan trademark soal pildun ini jangankan nulis lengkap cuma sekedar kata piala dunia ajaxexxa,"['fifa', 'ketat', 'anget', 'ngasih', 'atur', 'trademark', 'pildun', 'nulis', 'lengkap', 'dar', 'piala', 'dunia', 'ajaxexxa']",-4,negative
2022-11-29 11:38:54,0,0,1597555698673807361,Doneh,pitch invander ada dimana selevel piala dunia pun ada ahkan menyuarakan hal yg tidak erkaitan dengan sepakola itu sendiri egitulah sepakola yg dalam sejarahnya juga kerap dipakai untuk menyampaikan pesan sampe propaganda,"['pitch', 'invander', 'mana', 'level', 'piala', 'dunia', 'ahkan', 'suara', 'yg', 'erkaitan', 'sepakola', 'egitulah', 'sepakola', 'yg', 'sejarah', 'kerap', 'pakai', 'pesan', 'sampe', 'propaganda']",-1,negative
2022-11-29 11:38:41,0,0,1597555645846556673,idntimes,pemain liverpool yang mampu raih trofi piala dunia,"['main', 'liverpool', 'raih', 'trofi', 'piala', 'dunia']",1,positive
2022-11-29 11:38:37,0,86,1597555626149699585,mnaufalas,saewad kenapa anda menolak menggunakan an kapten lgtnncr  nsaya mengikuti aturan qatar seagai tuan rumah piala dunia xexxa,"['saewad', 'tolak', 'an', 'kapten', 'lgtnncr', 'nsaya', 'ikut', 'atur', 'qatar', 'aga', 'tuan', 'rumah', 'piala', 'dunia', 'xexxa']",-5,negative
2022-11-29 11:38:34,1,0,1597555614221496320,gilabolacom,kontroversi gol cristiano ronaldo atau runo fernandes gol siapa seenarnya,"['kontroversi', 'gol', 'cristiano', 'ronaldo', 'runo', 'fernandes', 'gol', 'seenarnya']",2,positive
2022-11-29 11:38:19,0,14,1597555553857069061,sweetjen0,pumpkinpies xcx jersey ola piala dunia qatar  xcx nna thread,"['pumpkinpies', 'xcx', 'jersey', 'ola', 'piala', 'dunia', 'qatar', 'xcx', 'nna', 'thread']",-1,negative
2022-11-29 11:38:06,0,0,1597555499435962368,Shinoa_hiiragii,katanya piala dunia kali ini sepi dan gak asik sinting eti,"['piala', 'dunia', 'kali', 'sepi', 'gak', 'asik', 'sinting', 'eti']",-5,negative
2022-11-29 11:38:03,0,0,1597555486244708352,Jud303i,lo tau qatar tuan rumah apa ini kn piala qatar tp piala utk juara dunianjgn di potong cara mikirnya,"['lo', 'tau', 'qatar', 'tuan', 'rumah', 'kn', 'piala', 'qatar', 'tp', 'piala', 'utk', 'juara', 'dunianjgn', 'potong', 'mikirnya']",-3,negative
2022-11-29 11:37:59,0,0,1597555470331703297,JhonJhondri1,ola piala dunia qatar,"['ola', 'piala', 'dunia', 'qatar']",-1,negative
2022-11-29 11:37:55,0,127,1597555450421334017,horangheay,ayue xfxfxxalive streaming piala dunianxexaxdxefxxfworld cupnnekuador vs senegaln vs qatarn,"['ayue', 'xfxfxxalive', 'streaming', 'piala', 'dunianxexaxdxefxxfworld', 'cupnnekuador', 'vs', 'senegaln', 'vs', 'qatarn']",0,neutral
2022-11-29 11:37:54,0,2,1597555445782441985,kak_rafly,salah satu keindahan piala dunia di qatar adalah mereka memuat tempat sholat di stadion dari kaca di semua sisi sehixexxa,"['salah', 'indah', 'piala', 'dunia', 'qatar', 'muat', 'sholat', 'stadion', 'kaca', 'sisi', 'sehixexxa']",1,positive
2022-11-29 11:37:51,0,24,1597555433832853504,vncylntns,kosple jadi maskot piala dunia arap,"['kosple', 'maskot', 'piala', 'dunia', 'arap']",-1,negative
2022-11-29 11:37:46,0,12,1597555413435568128,muhdaimanmn,qatar  pentas dakwah masyarakat duniannpiala dunia adalah sinonim agi masyarakat dunia khusus untuk pengemar olaxexxa,"['qatar', 'pentas', 'dakwah', 'masyarakat', 'duniannpiala', 'dunia', 'sinonim', 'agi', 'masyarakat', 'dunia', 'khusus', 'mar', 'olaxexxa']",-2,negative
2022-11-29 11:37:35,0,0,1597555368871485441,happyriezky,mulai skrg piala dunia ga ada yg sore ya huft,"['skrg', 'piala', 'dunia', 'ga', 'yg', 'sore', 'ya', 'huft']",3,positive
2022-11-29 11:37:30,0,1,1597555346570035200,Arie71733194,nakula piala dunia  di qatar semuanya tentang ronaldo,"['nakula', 'piala', 'dunia', 'qatar', 'ronaldo']",-1,negative
2022-11-29 11:37:15,0,5,1597555282384932865,YuliusJbrjrc,negosiasi transfer jeremie frimpong ke manchester united akan dilangsungkan setelah piala dunia xfxfxxxfxfxxnnfrimpong sendiri sangaxexxa,"['negosiasi', 'transfer', 'jeremie', 'frimpong', 'manchester', 'united', 'langsung', 'piala', 'dunia', 'xfxfxxxfxfxxnnfrimpong', 'sangaxexxa']",4,positive
2022-11-29 11:37:01,1,0,1597555226382577664,belajarlagiHQ,contohnya kayak eerapa waktu lalu official account rand esar samat di twitter karena susahnya mengikuti trend piala dunia tanpa harus seut namanyanntapi agaimanapun inilah entuk peraturan yg seenarnya kita gaoleh pake atriut resmi tanpa seijin pemiliknya yaitu fifa,"['contoh', 'kayak', 'eerapa', 'official', 'account', 'rand', 'esar', 'samat', 'twitter', 'susah', 'ikut', 'trend', 'piala', 'dunia', 'seut', 'namanyanntapi', 'agaimanapun', 'entuk', 'atur', 'yg', 'seenarnya', 'gaoleh', 'pake', 'atriut', 'resmi', 'seijin', 'milik', 'fifa']",-7,negative
2022-11-29 11:36:52,0,0,1597555187056791552,helmiperkasa5,jadwal ola hari ini siaran langsung piala dunia  iran vs amerika serikat wales vs inggrisn n lewat,"['jadwal', 'ola', 'siar', 'langsung', 'piala', 'dunia', 'iran', 'vs', 'amerika', 'serikat', 'wales', 'vs', 'inggrisn', 'n']",2,positive
2022-11-29 11:36:46,0,51,1597555162671124481,zaimzaim2807,jadual perlawanan ke piala dunia  xfxfxxannxexfx  mlm  paginxfxfxxa astro supersport tv tv okeynn,"['jadual', 'lawan', 'piala', 'dunia', 'xfxfxxannxexfx', 'mlm', 'paginxfxfxxa', 'astro', 'supersport', 'tv', 'tv', 'okeynn']",-4,negative
2022-11-29 11:36:44,0,0,1597555153841684481,sukarja,orang masuk islam selama permulaan piala dunia  hoax atau faktan dan install aplikasi cek porsi haji di android anda,"['orang', 'masuk', 'islam', 'mula', 'piala', 'dunia', 'hoax', 'faktan', 'install', 'aplikasi', 'cek', 'porsi', 'haji', 'android']",-12,negative
2022-11-29 11:36:32,0,0,1597555104433213440,SaifulH19680141,keanyakan nonton piala dunia,"['anyak', 'nonton', 'piala', 'dunia']",-1,negative
2022-11-29 11:36:15,0,99,1597555032865804289,Arwilda_,cantiknya suporter wanita ara saudi saat nonton piala dunia  njila tak lagi waji tanpa paksaan lagi di negaranya rxexxa,"['cantik', 'suporter', 'wanita', 'ara', 'saudi', 'nonton', 'piala', 'dunia', 'njila', 'waji', 'paksa', 'negara', 'rxexxa']",-4,negative
2022-11-29 11:36:12,0,0,1597555018433196032,stillberries,nonton piala dunia,"['nonton', 'piala', 'dunia']",-1,negative
2022-11-29 11:35:55,0,0,1597554947415224320,pleskukii,xfxfxxfxefxxf vidioxfxfxxfxefxxfnnsharingn hari  n hari  n ulan  n ulan   anti limitnnprivaten ulan  nnpiala dunia  ulannprivate k moilenprivate k all devicennxexadxadxccxaxexxxefxdxatrusted fast proses full garansinnxfxfxx dana amp shopeepay,"['xfxfxxfxefxxf', 'vidioxfxfxxfxefxxfnnsharingn', 'n', 'n', 'ulan', 'n', 'ulan', 'anti', 'limitnnprivaten', 'ulan', 'nnpiala', 'dunia', 'ulannprivate', 'k', 'moilenprivate', 'k', 'all', 'devicennxexadxadxccxaxexxxefxdxatrusted', 'fast', 'proses', 'full', 'garansinnxfxfxx', 'dana', 'amp', 'shopeepay']",2,positive
2022-11-29 11:35:52,0,0,1597554935062724609,twit_olahraga,lagi on fire runo fernandes kunci utama portugal wujudkan target juara piala dunia,"['on', 'fire', 'runo', 'fernandes', 'kunci', 'utama', 'portugal', 'wujud', 'target', 'juara', 'piala', 'dunia']",4,positive
2022-11-29 11:35:41,0,0,1597554888011124737,detikcom,elanda dikritik elum main agus di piala dunia  louis van gaal ingatkan kalau elanda di awah polesannya tak terkalahkan di  laga eruntun,"['elanda', 'kritik', 'elum', 'main', 'agus', 'piala', 'dunia', 'louis', 'van', 'gaal', 'ingat', 'elanda', 'awah', 'poles', 'kalah', 'laga', 'eruntun']",-11,negative
2022-11-29 11:35:39,0,0,1597554879245029381,detiksport,di alik hijaunya rumput stadion piala dunia  qatar ada peran petani indonesia yang erhasil menyulap padang pasir yang tandus menjadi tamantaman hijau saprudin astomi dipercaya mempersiapkan keindahan stadionstadion di qatar yang dipakai untuk,"['alik', 'hijau', 'rumput', 'stadion', 'piala', 'dunia', 'qatar', 'peran', 'tani', 'indonesia', 'erhasil', 'sulap', 'padang', 'pasir', 'tandus', 'tamantaman', 'hijau', 'saprudin', 'astomi', 'percaya', 'indah', 'stadionstadion', 'qatar', 'pakai']",11,positive
2022-11-29 11:35:35,0,0,1597554865114611712,jamindependent,ini daftar promo restoran dan kafe spesial piala dunia  ayoo seru,"['daftar', 'promo', 'restoran', 'kafe', 'spesial', 'piala', 'dunia', 'ayoo', 'seru']",-4,negative
2022-11-29 11:35:31,0,10,1597554846319620097,sulikhsan_,pdip atal gelar hut di gk karena dipakai persiapan piala dunia u,"['pdip', 'atal', 'gelar', 'hut', 'gk', 'pakai', 'siap', 'piala', 'dunia', 'u']",2,positive
2022-11-29 11:35:27,0,0,1597554831719542784,JerryValeron,saya erharap jika piala dunia erkesempatan di selenggarakan di indonesia aksi seperti ini akan dan harus di tindak tegas,"['erharap', 'piala', 'dunia', 'erkesempatan', 'selenggara', 'indonesia', 'aksi', 'tindak']",4,positive
2022-11-29 11:35:25,0,0,1597554821472849921,inilahbdgcom,ekuador vs senegal grup a piala dunia  prediksi dan link live streaming  inilah andung  nnn n,"['ekuador', 'vs', 'senegal', 'grup', 'a', 'piala', 'dunia', 'prediksi', 'link', 'live', 'streaming', 'andung', 'nnn', 'n']",0,neutral
2022-11-29 11:35:23,0,1,1597554813750849537,SriViraChandra,di tengah ramainya perayaan piala dunia di qatar simaklah foto erikut foto langka ini adalah potret pertandingan sepakxexxa,"['ramai', 'raya', 'piala', 'dunia', 'qatar', 'simak', 'foto', 'erikut', 'foto', 'langka', 'potret', 'tanding', 'sepakxexxa']",-2,negative
2022-11-29 11:34:50,0,5452,1597554677641465856,GaluhSuminar,jafar piala dunia sudah dimulai jangan judi,"['jafar', 'piala', 'dunia', 'judi']",-1,negative
2022-11-29 11:34:37,0,0,1597554621362630656,debrightonce,menghaiskan waktu dengan mengorol ersama apak satpam tidak pernah masuk dalam daftar hal mengasikan yang isa dilakukan saat gaut melanda nnkiranya nyaris satu jam mendengar pak prapto menceritakan tentang keseruan nontin areng piala dunia di kampung tempat tinggalnya,"['menghaiskan', 'mengorol', 'ersama', 'apak', 'satpam', 'masuk', 'daftar', 'asi', 'isa', 'gaut', 'landa', 'nnkiranya', 'jam', 'dengar', 'prapto', 'cerita', 'seru', 'nontin', 'areng', 'piala', 'dunia', 'kampung', 'tinggal']",-8,negative
2022-11-29 11:34:26,0,0,1597554573916282880,IwnNrhmn,piala dunia kali ini secara keseruan pertandingan paling top serasa erimang semuansehari isa doel drama seperti kmaren edisi seelumnya jarang ada drama di aak grup,"['piala', 'dunia', 'kali', 'seru', 'tanding', 'top', 'serasa', 'erimang', 'semuansehari', 'isa', 'doel', 'drama', 'kmaren', 'edisi', 'seelumnya', 'jarang', 'drama', 'aak', 'grup']",-6,negative
2022-11-29 11:34:17,0,0,1597554535454474245,OfficialGajah,jp  di gajah ola nhanya dengan modal knperkalian auto conect dan pecah ntentu saja untuk hari ini sedang gacor di nstarlight princessnnsegera login dan ermain di gajah ola ntonton juga piala dunia ersama dengan gajah olannlink super gacor,"['jp', 'gajah', 'ola', 'nhanya', 'modal', 'knperkalian', 'auto', 'conect', 'pecah', 'ntentu', 'gacor', 'nstarlight', 'princessnnsegera', 'login', 'ermain', 'gajah', 'ola', 'ntonton', 'piala', 'dunia', 'ersama', 'gajah', 'olannlink', 'super', 'gacor']",-1,negative
2022-11-29 11:34:11,0,0,1597554510582657025,belajarlagiHQ,fifa memuat rand aset resmi kayak logo font dll untuk piala dunia kali ini yg udah terdaftar resmi milik fifanninilah kenapa rand tampak jarang menggunakan kata kata piala dunia terutama untuk rand esar yg tentu erpotensi dilirik oleh fifa,"['fifa', 'muat', 'rand', 'aset', 'resmi', 'kayak', 'logo', 'font', 'dll', 'piala', 'dunia', 'kali', 'yg', 'udah', 'daftar', 'resmi', 'milik', 'fifanninilah', 'rand', 'jarang', 'piala', 'dunia', 'rand', 'esar', 'yg', 'erpotensi', 'lirik', 'fifa']",-2,negative
2022-11-29 11:33:59,0,0,1597554463069249536,inibukanjungwoo,memer lain kurang tau min tapi kalo jungwoo mah ada jadwal noar piala dunia sama gw,"['per', 'tau', 'min', 'kalo', 'jungwoo', 'mah', 'jadwal', 'noar', 'piala', 'dunia', 'gw']",-5,negative
2022-11-29 11:33:52,2,0,1597554430769086466,detikcom,rasil sukses menjejak aak  esar piala dunia  casemiro peringatkan rivalrivalnya ahwa rasil kini leih kuat ketimang di edisi seelumnya,"['rasil', 'sukses', 'jejak', 'aak', 'esar', 'piala', 'dunia', 'casemiro', 'ingat', 'rivalrivalnya', 'ahwa', 'rasil', 'leih', 'kuat', 'timang', 'edisi', 'seelumnya']",-1,negative
2022-11-29 11:33:50,0,72,1597554422166323200,Fathimahmalika,threadnmuslimah news xexx piala dunia perhelatan sepak ola dunia empat tahun sekali kemali digelar selama satu ulanxexxa,"['threadnmuslimah', 'news', 'xexx', 'piala', 'dunia', 'helat', 'sepak', 'ola', 'dunia', 'kemal', 'gelar', 'ulanxexxa']",-3,negative
2022-11-29 11:33:36,0,0,1597554364851552256,ekbistangsel,piala dunia  argentiva vs polandia preview prediksi lineup rekor pertemuan ocehan pelatih,"['piala', 'dunia', 'argentiva', 'vs', 'polandia', 'preview', 'prediksi', 'lineup', 'rekor', 'temu', 'oceh', 'latih']",4,positive
2022-11-29 11:33:32,0,0,1597554348997115904,VIVAcoid,video tim yang lolos  esar piala dunia  mana jagoanmu,"['video', 'tim', 'lolos', 'esar', 'piala', 'dunia', 'jago']",-6,negative
2022-11-29 11:33:26,0,0,1597554324405903360,kompasiana,pengalaman eli tiket dan menonton langsung piala dunia  pada pertandingan antara jepang vs kosta rika di qatar tiketnya ereut n,"['alam', 'eli', 'tiket', 'tonton', 'langsung', 'piala', 'dunia', 'tanding', 'jepang', 'vs', 'kosta', 'rika', 'qatar', 'tiket', 'ereut', 'n']",1,positive
2022-11-29 11:33:26,0,0,1597554322916528128,bigwinjusey08,piala dunia,"['piala', 'dunia']",-1,negative
2022-11-29 11:33:11,0,95,1597554262141464576,marnobgrpb,pk gus muhaimin alas mengapresiasi qatar yang mampu menggelar kejuaraan sepak ola paling ergengsi dgn elegan nn,"['pk', 'gus', 'muhaimin', 'alas', 'apresiasi', 'qatar', 'gelar', 'juara', 'sepak', 'ola', 'ergengsi', 'dgn', 'elegan', 'nn']",2,positive
2022-11-29 11:33:11,0,0,1597554260329213953,tebakanbola,ahli fisika asal amerika serikat puji ola piala dunia uatan indonesia eraerodinamika tinggi nn,"['ahli', 'fisika', 'amerika', 'serikat', 'puji', 'ola', 'piala', 'dunia', 'uatan', 'indonesia', 'eraerodinamika', 'nn']",3,positive
2022-11-29 11:33:06,0,0,1597554239798407169,katikcakil,gamau jadwal tidur rusak lagi tapi ini piala dunia xfxfxx,"['gamau', 'jadwal', 'tidur', 'rusak', 'piala', 'dunia', 'xfxfxx']",-6,negative
2022-11-29 11:32:50,0,0,1597554173418971136,ekbistangsel,piala dunia setelah prancis rasil portugal ke  esar siapa menyusul ini ulasannya,"['piala', 'dunia', 'prancis', 'rasil', 'portugal', 'esar', 'susul', 'ulas']",-1,negative
2022-11-29 11:32:38,0,0,1597554123700047872,koclor_,piala dunia mung entuk hikmah xfxfxax,"['piala', 'dunia', 'mung', 'entuk', 'hikmah', 'xfxfxax']",1,positive
2022-11-29 11:32:27,16,6,1597554074454753280,belajarlagiHQ,fifa ketat anget ngasih aturan trademark soal pildun ini jangankan nulis lengkap cuma sekedar kata piala dunia aja isa terancam erurusan sama fifannini adalah entuk dari rand assets yg dilindungi dari penggunaan yg illegal,"['fifa', 'ketat', 'anget', 'ngasih', 'atur', 'trademark', 'pildun', 'nulis', 'lengkap', 'dar', 'piala', 'dunia', 'aja', 'isa', 'ancam', 'erurusan', 'fifannini', 'entuk', 'rand', 'assets', 'yg', 'lindung', 'guna', 'yg', 'illegal']",-2,negative
2022-11-29 11:32:21,0,0,1597554051763539968,Benidictivity,tiket piala dunia qatar termahal,"['tiket', 'piala', 'dunia', 'qatar', 'mahal']",0,neutral
2022-11-29 11:32:13,0,36,1597554018741428224,Anam96Y,seuah keluarga razil masuk islam setelah melihat orangxcx shalat aca alquran dan perilaku aik umat islamnnkeluarga inixexxa,"['seuah', 'keluarga', 'razil', 'masuk', 'islam', 'orangxcx', 'shalat', 'aca', 'alquran', 'perilaku', 'aik', 'umat', 'islamnnkeluarga', 'inixexxa']",11,positive
2022-11-29 11:32:07,0,0,1597553991734693889,sinergia_news,jangan lewatkan link live streaming piala dunia malam ini aak akhir elanda vs qatar penentuan  esar jangan ketinggalan,"['lewat', 'link', 'live', 'streaming', 'piala', 'dunia', 'malam', 'aak', 'elanda', 'vs', 'qatar', 'tentu', 'esar', 'tinggal']",-7,negative
2022-11-29 11:31:48,0,0,1597553913770962944,myedisi9,leih rm juta dirampas judi piala dunia n  via,"['leih', 'rm', 'juta', 'rampas', 'judi', 'piala', 'dunia', 'n', 'via']",-3,negative
2022-11-29 11:31:43,0,0,1597553891222384641,77577SportsIDN,cristiano ronaldo mengirim pesan kepada piers morgan usai laga piala dunia  portugal vs uruguay ahwa dia adalah pencetak gol pertama ukan runo fernandes  sports,"['cristiano', 'ronaldo', 'kirim', 'pesan', 'piers', 'morgan', 'laga', 'piala', 'dunia', 'portugal', 'vs', 'uruguay', 'ahwa', 'cetak', 'gol', 'ukan', 'runo', 'fernandes', 'sports']",3,positive
2022-11-29 11:31:04,0,2,1597553729787424769,Nitizen_Zen,offside duo   argentinajerman gak perlu panik piala dunia teruruk  via,"['offside', 'duo', 'argentinajerman', 'gak', 'panik', 'piala', 'dunia', 'uruk', 'via']",-5,negative
2022-11-29 11:31:03,1,0,1597553723538288641,KapanLagicom,seleritis tanah air ini punya jagoan sendiri di piala dunia  ada yang dukung negara nonunggulan,"['seleritis', 'tanah', 'air', 'jago', 'piala', 'dunia', 'dukung', 'negara', 'nonunggulan']",5,positive
2022-11-29 11:31:03,0,0,1597553721809899520,pisiganteng,ada yang jual vidio uat nonton piala dunia ga,"['jual', 'vidio', 'uat', 'nonton', 'piala', 'dunia', 'ga']",0,neutral
2022-11-29 11:30:42,6,0,1597553633998278658,branjangankawat,hais nonton piala dunia mata kok jadi egini xfxfxxxfxfxx,"['hais', 'nonton', 'piala', 'dunia', 'mata', 'egini', 'xfxfxxxfxfxx']",-3,negative
2022-11-29 11:30:41,0,0,1597553630487678976,nailul_ihsan,tv gak mau hidupnpadahal piala dunia masih elum usainneli aru atau enerin tv lama dulu sementara,"['tv', 'gak', 'hidupnpadahal', 'piala', 'dunia', 'elum', 'usainneli', 'aru', 'enerin', 'tv']",-6,negative
2022-11-29 11:30:32,0,1,1597553592080424960,Bambangelf,gus muhaimin apresiasi perhelatan piala dunia qatar nn    xexxa,"['gus', 'muhaimin', 'apresiasi', 'helat', 'piala', 'dunia', 'qatar', 'nn', 'xexxa']",-1,negative
2022-11-29 11:30:17,0,0,1597553531581792257,soegihardjo67,nusantara   christing maaf lg siuk piala dunia xfxfxxxfxfxx,"['nusantara', 'christing', 'maaf', 'lg', 'siuk', 'piala', 'dunia', 'xfxfxxxfxfxx']",-2,negative
2022-11-29 11:30:12,0,0,1597553511457488897,Bellaan18520189,ayo ergaung ersama  ndan dapatkan onus demam piala dunianplus tamah onus cashack nnlink daftar    ergaung ersama kami di situs slot gacor   hanya dengan modal ndapatkan onus new memer slot  up hingga,"['ayo', 'ergaung', 'ersama', 'ndan', 'dapat', 'onus', 'demam', 'piala', 'dunianplus', 'tamah', 'onus', 'cashack', 'nnlink', 'daftar', 'ergaung', 'ersama', 'situs', 'slot', 'gacor', 'modal', 'ndapatkan', 'onus', 'new', 'per', 'slot', 'up']",1,positive
2022-11-29 11:30:08,0,0,1597553495036596227,idaylummm,sera seri piala dunia qatar  tidak ada tempat untuk israel,"['sera', 'seri', 'piala', 'dunia', 'qatar', 'israel']",-1,negative
2022-11-29 11:30:04,0,0,1597553477684977664,KingCabbage12,haang   ang juara piala dunia  feeling aang siapa yg juara gua mau pasang tarohan nih sama temen gua ang,"['haang', 'ang', 'juara', 'piala', 'dunia', 'feeling', 'aang', 'yg', 'juara', 'gua', 'pasang', 'tarohan', 'nih', 'temen', 'gua', 'ang']",-3,negative
2022-11-29 11:30:04,0,93,1597553475034165249,IbnuSholh,ada spanduk anies aswedan for presiden di piala dunia  qatar  portal islam,"['spanduk', 'anies', 'aswedan', 'for', 'presiden', 'piala', 'dunia', 'qatar', 'portal', 'islam']",6,positive
2022-11-29 11:30:00,0,0,1597553460987281409,Bolanet,video piala dunia  mengintip cara ersedekah di qatar yang dipermudah anget,"['video', 'piala', 'dunia', 'intip', 'ersedekah', 'qatar', 'mudah', 'anget']",2,positive
2022-11-29 11:30:00,1,0,1597553459665858560,kompasiana,piala dunia  mungkin akan digunakan qatar seagai atu pijakan untuk erenah dan memuat timnas sepak olanya isa erlaga di ajang serupa lain n,"['piala', 'dunia', 'qatar', 'aga', 'atu', 'pijak', 'erenah', 'muat', 'timnas', 'sepak', 'olanya', 'isa', 'erlaga', 'ajang', 'n']",-7,negative
